# figure: fig_intro_5a — Taux d'activité (LFPR, 15+) par sexe, RDC
# source: OIT, ILOSTAT — estimations modélisées (ILOEST)
# indicateur: EAP_DWAP_SEX_AGE_RT_A — Taux d'activité, population 15 ans et plus
# date_reference: 2023
# note: estimations modélisées OIT (ILOEST) — les plus récentes disponibles à la date du bulletin
#       série complémentaire : voir fig_intro_5b pour l'emploi informel
# metadata: 08_figures/donnees/fig_intro_5a_taux_activite_par_sexe_metadata.txt
# script: 09_scripts/generer_figures_intro.py → def fig5() panneau gauche
categorie,taux_activite_pct,taux_inactivite_pct
Ensemble,70.9,29.1
Hommes,78.5,21.5
Femmes,63.5,36.5
