# figure: fig_intro_6 — Structure de l'emploi par grand secteur d'activité, RDC
# source: OIT — ILOSTAT (estimations modélisées ILOEST, 2024)
# indicateur: SL.AGR.EMPL.ZS / SL.IND.EMPL.ZS / SL.SRV.EMPL.ZS — emploi par secteur (%)
# date_reference: 2024
# note: agriculture = données ILOSTAT directes ; industrie et services = parts résiduelles estimées
#       désagrégation par sexe issue de la série ILOSTAT EMP_2EMP_SEX_ECO_NB
# metadata: 08_figures/donnees/fig_intro_6_structure_emploi_par_secteur_metadata.txt
# script: 09_scripts/generer_figures_intro.py → def fig6()
secteur,ensemble_pct,femmes_pct,hommes_pct
Agriculture,58.9,67.8,50.3
Industrie,15.3,12.1,18.2
Services,25.8,20.1,31.5
